Date,Open,High,Low,Close,Adj Close,Volume
2020-02-17,10974.929688,11241.500000,10974.929688,11241.500000,11241.500000,2168300
2020-02-18,11306.490234,11306.490234,11306.490234,11306.490234,11306.490234,0
2020-02-19,11300.160156,11387.990234,11229.549805,11235.599609,11235.599609,2339600
2020-02-20,11509.089844,11509.089844,11509.089844,11509.089844,11509.089844,0
2020-02-21,11506.669922,11727.889648,11493.629883,11629.700195,11629.700195,2674700
2020-02-24,11620.629883,11809.750000,11548.410156,11772.379883,11772.379883,2774300
2020-02-25,11856.080078,11856.080078,11856.080078,11856.080078,11856.080078,0
2020-02-26,11497.549805,11497.549805,11497.549805,11497.549805,11497.549805,0
2020-02-27,11555.820313,11684.500000,11401.320313,11534.019531,11534.019531,2464500
2020-02-28,11150.660156,11338.349609,10962.240234,10980.769531,10980.769531,2800200
2020-03-02,11381.759766,11381.759766,11381.759766,11381.759766,11381.759766,0
2020-03-03,11597.660156,11734.179688,11378.759766,11484.209961,11484.209961,2659900
2020-03-04,11493.019531,11493.019531,11493.019531,11493.019531,11493.019531,0
2020-03-05,11644.410156,11739.839844,11521.290039,11711.370117,11711.370117,2529900
2020-03-06,11555.459961,11690.200195,11541.780273,11582.820313,11582.820313,2136600
2020-03-09,11363.790039,11407.469727,11100.910156,11108.549805,11108.549805,2489100
2020-03-10,11016.919922,11406.299805,10916.950195,11403.469727,11403.469727,2412300
2020-03-11,11436.440430,11444.780273,11197.089844,11200.049805,11200.049805,2046700
2020-03-12,11022.400391,11070.410156,10842.379883,10941.009766,10941.009766,1869800
2020-03-13,10382.219727,10956.509766,10380.169922,10831.129883,10831.129883,2245600
2020-03-16,10867.660156,10867.660156,10217.929688,10253.280273,10253.280273,2261500
2020-03-17,10337.919922,10449.330078,9885.860352,10202.750000,10202.750000,1957500
2020-03-18,10294.959961,10479.780273,10029.570313,10029.570313,10029.570313,1974900
2020-03-19,10023.120117,10101.799805,9719.490234,10019.860352,10019.860352,1933200
